date,close,volume,open,high,low
4/29/09,3.51,11537950,3.4,3.56,3.38
4/30/09,3.61,18193730,3.55,3.73,3.53
5/1/09,3.82,16233940,3.55,3.9,3.55
5/4/09,4.26,21236940,3.9,4.3,3.83
5/5/09,4.32,16369170,4.36,4.39,4.11
